id,title,pages
https://iiif.onb.ac.at/presentation/ANNO/wrz17710731/manifest,Wiener Zeitung 1771-07-31,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17710803/manifest,Wiener Zeitung 1771-08-03,22
https://iiif.onb.ac.at/presentation/ANNO/wrz17710807/manifest,Wiener Zeitung 1771-08-07,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17710810/manifest,Wiener Zeitung 1771-08-10,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17710814/manifest,Wiener Zeitung 1771-08-14,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17710817/manifest,Wiener Zeitung 1771-08-17,18
https://iiif.onb.ac.at/presentation/ANNO/wrz17710821/manifest,Wiener Zeitung 1771-08-21,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17710824/manifest,Wiener Zeitung 1771-08-24,16
https://iiif.onb.ac.at/presentation/ANNO/wrz17710828/manifest,Wiener Zeitung 1771-08-28,38
https://iiif.onb.ac.at/presentation/ANNO/wrz17710831/manifest,Wiener Zeitung 1771-08-31,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17710904/manifest,Wiener Zeitung 1771-09-04,16
https://iiif.onb.ac.at/presentation/ANNO/wrz17710907/manifest,Wiener Zeitung 1771-09-07,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17710911/manifest,Wiener Zeitung 1771-09-11,18
https://iiif.onb.ac.at/presentation/ANNO/wrz17710914/manifest,Wiener Zeitung 1771-09-14,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17710918/manifest,Wiener Zeitung 1771-09-18,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17710921/manifest,Wiener Zeitung 1771-09-21,18
https://iiif.onb.ac.at/presentation/ANNO/wrz17710925/manifest,Wiener Zeitung 1771-09-25,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17710928/manifest,Wiener Zeitung 1771-09-28,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17711002/manifest,Wiener Zeitung 1771-10-02,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17711005/manifest,Wiener Zeitung 1771-10-05,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17711009/manifest,Wiener Zeitung 1771-10-09,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17711012/manifest,Wiener Zeitung 1771-10-12,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17711016/manifest,Wiener Zeitung 1771-10-16,22
https://iiif.onb.ac.at/presentation/ANNO/wrz17711019/manifest,Wiener Zeitung 1771-10-19,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17711023/manifest,Wiener Zeitung 1771-10-23,18
https://iiif.onb.ac.at/presentation/ANNO/wrz17711026/manifest,Wiener Zeitung 1771-10-26,16
https://iiif.onb.ac.at/presentation/ANNO/wrz17711030/manifest,Wiener Zeitung 1771-10-30,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17711102/manifest,Wiener Zeitung 1771-11-02,18
https://iiif.onb.ac.at/presentation/ANNO/wrz17711106/manifest,Wiener Zeitung 1771-11-06,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17711109/manifest,Wiener Zeitung 1771-11-09,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17711113/manifest,Wiener Zeitung 1771-11-13,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17711116/manifest,Wiener Zeitung 1771-11-16,22
https://iiif.onb.ac.at/presentation/ANNO/wrz17711120/manifest,Wiener Zeitung 1771-11-20,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17711123/manifest,Wiener Zeitung 1771-11-23,16
https://iiif.onb.ac.at/presentation/ANNO/wrz17711127/manifest,Wiener Zeitung 1771-11-27,18
https://iiif.onb.ac.at/presentation/ANNO/wrz17711130/manifest,Wiener Zeitung 1771-11-30,18
https://iiif.onb.ac.at/presentation/ANNO/wrz17711204/manifest,Wiener Zeitung 1771-12-04,18
https://iiif.onb.ac.at/presentation/ANNO/wrz17711207/manifest,Wiener Zeitung 1771-12-07,26
https://iiif.onb.ac.at/presentation/ANNO/wrz17711211/manifest,Wiener Zeitung 1771-12-11,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17711214/manifest,Wiener Zeitung 1771-12-14,22
https://iiif.onb.ac.at/presentation/ANNO/wrz17711218/manifest,Wiener Zeitung 1771-12-18,26
https://iiif.onb.ac.at/presentation/ANNO/wrz17711221/manifest,Wiener Zeitung 1771-12-21,26
https://iiif.onb.ac.at/presentation/ANNO/wrz17711225/manifest,Wiener Zeitung 1771-12-25,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17711228/manifest,Wiener Zeitung 1771-12-28,22
https://iiif.onb.ac.at/presentation/ANNO/wrz17720101/manifest,Wiener Zeitung 1772-01-01,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720104/manifest,Wiener Zeitung 1772-01-04,16
https://iiif.onb.ac.at/presentation/ANNO/wrz17720108/manifest,Wiener Zeitung 1772-01-08,16
https://iiif.onb.ac.at/presentation/ANNO/wrz17720111/manifest,Wiener Zeitung 1772-01-11,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720115/manifest,Wiener Zeitung 1772-01-15,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720118/manifest,Wiener Zeitung 1772-01-18,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720122/manifest,Wiener Zeitung 1772-01-22,16
https://iiif.onb.ac.at/presentation/ANNO/wrz17720125/manifest,Wiener Zeitung 1772-01-25,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720129/manifest,Wiener Zeitung 1772-01-29,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720201/manifest,Wiener Zeitung 1772-02-01,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720205/manifest,Wiener Zeitung 1772-02-05,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720208/manifest,Wiener Zeitung 1772-02-08,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720212/manifest,Wiener Zeitung 1772-02-12,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720215/manifest,Wiener Zeitung 1772-02-15,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720219/manifest,Wiener Zeitung 1772-02-19,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720222/manifest,Wiener Zeitung 1772-02-22,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720226/manifest,Wiener Zeitung 1772-02-26,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720229/manifest,Wiener Zeitung 1772-02-29,24
https://iiif.onb.ac.at/presentation/ANNO/wrz17720304/manifest,Wiener Zeitung 1772-03-04,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720307/manifest,Wiener Zeitung 1772-03-07,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720311/manifest,Wiener Zeitung 1772-03-11,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720314/manifest,Wiener Zeitung 1772-03-14,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720318/manifest,Wiener Zeitung 1772-03-18,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720321/manifest,Wiener Zeitung 1772-03-21,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720325/manifest,Wiener Zeitung 1772-03-25,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720328/manifest,Wiener Zeitung 1772-03-28,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720401/manifest,Wiener Zeitung 1772-04-01,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720404/manifest,Wiener Zeitung 1772-04-04,24
https://iiif.onb.ac.at/presentation/ANNO/wrz17720408/manifest,Wiener Zeitung 1772-04-08,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720411/manifest,Wiener Zeitung 1772-04-11,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720415/manifest,Wiener Zeitung 1772-04-15,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720418/manifest,Wiener Zeitung 1772-04-18,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720422/manifest,Wiener Zeitung 1772-04-22,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720425/manifest,Wiener Zeitung 1772-04-25,24
https://iiif.onb.ac.at/presentation/ANNO/wrz17720429/manifest,Wiener Zeitung 1772-04-29,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720502/manifest,Wiener Zeitung 1772-05-02,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720506/manifest,Wiener Zeitung 1772-05-06,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720509/manifest,Wiener Zeitung 1772-05-09,20
https://iiif.onb.ac.at/presentation/ANNO/wrz17720513/manifest,Wiener Zeitung 1772-05-13,28
https://iiif.onb.ac.at/presentation/ANNO/wrz17720516/manifest,Wiener Zeitung 1772-05-16,16
https://iiif.onb.ac.at/presentation/ANNO/wrz17720520/manifest,Wiener Zeitung 1772-05-20,24
